numeroPedido,clienteId,fechaEntrega,estado,zonaEntrega,requiereRefrigeracion
P001,CLI-001,2025-12-10,PENDIENTE,ZONA1,true
P002,CLI-002,2025-12-12,CONFIRMADO,ZONA2,false
P003,CLI-003,2025-12-15,PENDIENTE,ZONA3,false
P004,CLI-123,2025-12-20,ENTREGADO,ZONA5,true
P005,CLI-456,2025-12-25,PENDIENTE,NORTE,true
P006,CLI-789,2025-12-30,CONFIRMADO,SUR,false
P007,CLI-001,2026-01-05,PENDIENTE,ESTE,true
P008,CLI-002,2026-01-10,CONFIRMADO,OESTE,false
P009,CLI-003,2026-01-15,ENTREGADO,CENTRO,true
P010,CLI-123,2026-01-20,PENDIENTE,ZONA1,false
